    version     |                   name                    
----------------+-------------------------------------------
 20260729164522 | code_agent_control_plane
 20260729164535 | github_app_installations
 20260729164721 | harden_code_agent_schema
 20260729165144 | lock_down_code_agent_anon_access
 20260729231426 | github_webhook_ledger
 20260729232141 | restrict_code_agent_policy_roles
 20260729234551 | ai_provider_connections
 20260729234651 | reject_anonymous_code_agent_access
 20260730001803 | repository_hybrid_index
 20260730063059 | repository_code_intelligence
 20260730083259 | model_routing_and_evaluations
 20260730091313 | subscriptions_budgets_telemetry
 20260730100937 | approval_policies_resume_artifacts
 20260730102731 | egress_command_policies_retention
 20260730104416 | api_tokens
 20260730110931 | review_runs
 20260730114324 | automations
 20260730203059 | conversation_platform
 20260730212120 | app_build_platform
 20260730233508 | app_publish_platform
 20260731100621 | owner_accounts
 20260731113457 | per_app_runtime
 20260731113533 | app_auth_support_tables
 20260731113608 | app_auth_schema_align
 20260731151901 | soft_delete
 20260801000408 | build_diagnostics
 20260801080238 | ai_requests
 20260801082604 | ai_requests_context
 20260801090748 | conversation_model_pref
 20260801120332 | diag_incidents
 20260801134602 | build_signals
 20260801140736 | ai_credentials_allow_xai
 20260801140806 | ai_preferences_allow_xai
 20260801160607 | repair_pipeline_hardening
 20260801162814 | persistent_build_checkpoints
 20260801180459 | provider_constraints_and_telemetry_grants
 20260801195851 | qa_runs_thrallo
 20260801202309 | app_notifications
 20260801202626 | app_notifications_source_is_trusted_only
 20260801203017 | app_notifications_column_grants
 20260802150108 | subscription_plan_changes
 20260802185336 | publish_lifecycle_unpublish
 20260802210939 | custom_domain_verification
 20260802211118 | custom_domain_verification_started
 20260802220217 | thrallo_analytics_foundation
 20260802223316 | health_monitoring
 20260802234247 | project_logs
 20260803005550 | analytics_logs_health_tables_reconcile
 20260803072805 | drift_helper_project_scoped
 20260803124509 | one_live_site_per_product
 20260803150144 | deployments
 20260803205904 | conversation_favourites_archive
 20260803233001 | account_notifications_cancellation
 20260804090105 | onboarding_state
 20260804103902 | analytics_country
 20260804201913 | diag_runs_implementation_contract
 20260804203403 | build_checkpoints_stage
 20260805072157 | ai_requests_provider_request_ids
 20260805190622 | builder_v2_foundation
 20260805212028 | bv2_verification_cache_nullable_snapshot
 20260806210321 | production_catalog_grants_reconciliation
(61 rows)

